scientificName,verbatimScientificName,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
" 1825	Gampsonyx swainsonii		BR	Brazil - Ceará			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-4.842301	-38.416924	10.0						2018-12-04T00:00:00	4	12	2018	2480710	2480710	HUMAN_OBSERVATION		Observations	OBS.165100040				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:04:52.304Z	StillImage	COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1788)	Guira guira		BR	Brazil - Ceará			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-4.710219	-37.35561	65.0						2018-12-04T00:00:00	4	12	2018	2496462	2496462	HUMAN_OBSERVATION		Observations	OBS.165099913				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:04:52.303Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1821	Thraupis palmarum		BR	Brazil - Ceará			2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-4.267365	-38.935506	16.0						2018-12-05T00:00:00	5	12	2018	2488628	2488628	HUMAN_OBSERVATION		Observations	OBS.165130379				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T15:39:39.578Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1758)	Butorides striata		BR	Brazil - Sao Paulo			9	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-23.588015	-46.658702	10.0						2019-12-27T00:00:00	27	12	2019	2480824	2480824	HUMAN_OBSERVATION		Observations	OBS.183471627				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T15:45:29.915Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1766)	Sicalis flaveola		BR	Brazil - REGUA - Wetland Trail			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.452832	-42.772556	10.0						2017-03-10T00:00:00	10	3	2017	2491862	2491862	HUMAN_OBSERVATION		Observations	OBS.175363608				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:05:37.221Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1818)	Gallinula galeata		BR	Brazil - Sao Paulo			3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-23.588387	-46.658142	10.0						2019-12-27T00:00:00	27	12	2019	7340222	5228199	HUMAN_OBSERVATION		Observations	OBS.183471622				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:07:38.604Z	StillImage	COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1823)	Pachyramphus marginatus		BR	Brazil - REGUA - Guapiacu Watershed			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.412797	-42.738013	10.0						2017-03-11T00:00:00	11	3	2017	5230343	5230343	HUMAN_OBSERVATION		Observations	OBS.175362403				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:07:24.224Z		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1758)	Coereba flaveola		BR	Brazil - Espirito Santo			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-19.937607	-40.600533	25.0						2019-11-02T00:00:00	2	11	2019	2493744	2493744	HUMAN_OBSERVATION		Observations	OBS.184363070				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:08:10.281Z	StillImage	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1790)	Chloroceryle amazona		BR	Brazil - REGUA - Wetland Trail			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.451875	-42.772942	48.0						2018-10-31T00:00:00	31	10	2018	2475482	2475482	HUMAN_OBSERVATION		Observations	OBS.164697261				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:03:50.191Z	StillImage	COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1818)	Colaptes campestris		BR	Brazil - REGUA - Guapiacu Watershed			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.481438	-42.760555	25.0						2018-11-04T00:00:00	4	11	2018	2478233	2478233	HUMAN_OBSERVATION		Observations	OBS.164286317				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:03:46.826Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1818)	Conopophaga melanops		BR	Brazil - REGUA - Guapiacu Watershed			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.413662	-42.738244	10.0						2018-08-27T00:00:00	27	8	2018	2488935	2488935	HUMAN_OBSERVATION		Observations	OBS.161876179				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:03:10.402Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1766)	Dacnis cayana		BR	Brazil - Ceará			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-4.266453	-38.917393	10.0						2019-07-28T00:00:00	28	7	2019	2488352	2488352	HUMAN_OBSERVATION		Observations	OBS.177095109				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:05:34.626Z	StillImage	COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1776)	Tangara seledon		BR	Brazil - Sao Paulo			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-23.4011	-45.06293	10.0						2017-03-16T00:00:00	16	3	2017	2488104	2488104	HUMAN_OBSERVATION		Observations	OBS.175363481				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:05:55.013Z		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1823)	Pachyramphus validus		BR	Brazil - REGUA - Guapiacu Watershed			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.421257	-42.8156	10.0						2017-03-12T00:00:00	12	3	2017	5230321	5230321	HUMAN_OBSERVATION		Observations	OBS.175362408				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:05:55.013Z		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1788)	Chloroceryle americana		BR	Brazil - REGUA - Wetland Trail			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.452349	-42.771767	25.0						2019-08-23T00:00:00	23	8	2019	2475486	2475486	HUMAN_OBSERVATION		Observations	OBS.178491721				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:05:30.774Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1766)	Jacana jacana		BR	Brazil - REGUA - The Lodge gardens			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.451077	-42.770733	25.0						2019-08-23T00:00:00	23	8	2019	2481846	2481846	HUMAN_OBSERVATION		Observations	OBS.178491677				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:05:30.774Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1817)	Stelgidopteryx ruficollis		BR	Brazil - REGUA - Wetland Trail			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.452282	-42.771778	25.0						2019-08-23T00:00:00	23	8	2019	2489203	2489203	HUMAN_OBSERVATION		Observations	OBS.178420172				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:05:30.672Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1758	Ardea alba		BR	Brazil - REGUA - Guapiacu Watershed			3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.505213	-42.73077	25.0						2019-11-04T00:00:00	4	11	2019	9752617	9752617	HUMAN_OBSERVATION		Observations	OBS.181920102				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:07:45.497Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1782)	Cygnus melancoryphus		BR	Brazil - Rio Grande do Sul			6	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-31.219278	-50.979065	25.0						2019-07-27T00:00:00	27	7	2019	2498335	2498335	HUMAN_OBSERVATION		Observations	OBS.177380089				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:04:56.157Z	StillImage	COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1823)	Mimus saturninus		BR	Brazil - REGUA - Guapiacu Watershed			2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.430754	-42.752289	25.0						2018-11-05T00:00:00	5	11	2018	5231675	5231675	HUMAN_OBSERVATION		Observations	OBS.164319531				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T15:39:13.808Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
